大分類,中分類,小分類,細分類,該当例
,,,,電気音響装置生産技術者
,,,,電気機器生産技術者
,,,,電気計測器生産技術者
,,,,電気信号装置生産技術者
,,,,電気装置生産技術者
,,,,電気通信機器生産技術者
,,,,電気溶接機生産技術者
,,,,電気冷蔵庫生産技術者
,,,,電気冷凍機生産技術者
,,,,電子管生産技術者
,,,,電子機器生産技術者
,,,,電子計算機生産技術者
,,,,電池生産技術者
,,,,電動機生産技術者
,,,,電話機生産技術者
,,,,電話交換機生産技術者
,,,,トランジスタ生産技術者
,,,,内燃機関電装品生産技術者
,,,,ネオンランプ生産技術者
,,,,発送電装置生産技術者
,,,,発電機生産技術者
,,,,半導体製造プロセス開発技術者
,,,,半導体製品生産技術者
,,,,変圧器生産技術者
,,,,無線電気通信機器生産技術者
,,,,レーダー生産技術者
,,,電気工事技術者,計装電気施工管理技術者
,,,,弱電工事技術者
,,,,電気工事施工管理技術者
,,,,電気施設施工管理技術者
,,,,電気設備工事施工管理技術者
,,,他に分類されない電気・電子・電気通信製造技術者(通信ネットワークを除く),EMC試験技術員(電気機器)
,,,,X線装置製造技術者(生産技術者を除く)
,,,,機能評価技術員(電気通信機器)
,,,,機能評価技術員(電気・電子機器)
,,,,給電技術者
,,,,計装技術員
,,,,車両電気技術員
,,,,集積回路製造技術者(生産技術者を除く)
,,,,精密測定器製造技術者(電気式)(生産技術者を除く)
,,,,セールスエンジニア(電子計算機)
,,,,積算電力計製造技術者(生産技術者を除く)
,,,,テレビ製造技術者(生産技術者を除く)
,,,,電気音響装置製造技術者(生産技術者を除く)
,,,,電気機械製造技術者(生産技術者を除く)
,,,,電気計測器製造技術者(生産技術者を除く)
,,,,電気信号装置製造技術者(生産技術者を除く)
,,,,電気設備管理技術者
,,,,電気装置製造技術者(生産技術者を除く)
,,,,電気通信機器制御システム評価試験技術員
,,,,電気通信機器製造技術者(生産技術者を除く)
,,,,電気・電子機器製造技術者(生産技術者を除く)
,,,,電気防蝕技術者
,,,,電気溶接機製造技術者(生産技術者を除く)
,,,,電気冷蔵庫製造技術者(生産技術者を除く)
,,,,電気冷凍機製造技術者(生産技術者を除く)
,,,,電子管製造技術者(生産技術者を除く)
,,,,電子計算機製造技術者(生産技術者を除く)
,,,,電動機製造技術者(生産技術者を除く)
,,,,電話機製造技術者(生産技術者を除く)
,,,,電話交換機製造技術者(生産技術者を除く)
,,,,トランジスタ製造技術者(生産技術者を除く)
,,,,内燃機関電装品製造技術者(生産技術者を除く)
,,,,ネオンランプ製造技術者(生産技術者を除く)
,,,,配電技術者
,,,,舶用電気技術者
,,,,発送電技術者(開発技術者を除く)
,,,,発送電装置製造技術者(生産技術者を除く)
,,,,発電機製造技術者(生産技術者を除く)
,,,,発電所機械技術者
,,,,半導体製品製造技術者(生産技術者を除く)
,,,,品質検査技術者(電子機器部品)
,,,,変圧器製造技術者(生産技術者を除く)
,,,,変電所電気技術員
,,,,無線電気通信機器製造技術者(生産技術者を除く)
,,,,レーダー製造技術者(生産技術者を除く)
,,機械製造技術者,機械生産技術者,圧延機械生産技術者
,,,,圧力計生産技術者
,,,,印刷機械生産技術者
,,,,エアーブレーキ生産技術者
,,,,化学プラント製造プロセス技術者
,,,,空気圧縮機生産技術者
,,,,空気調和機械生産技術者
,,,,クレーン生産技術者
,,,,建設機械生産技術者
,,,,原動機生産技術者
,,,,光学機器生産技術者
,,,,光学レンズ生産技術者
,,,,衡器生産技術者
,,,,工業計器生産技術者
,,,,航空機エンジン生産技術者
,,,,航空計器生産技術者
,,,,工作機械生産技術者
,,,,鉱山機械生産技術者
,,,,さく井機生産技術者
,,,,試錐機生産技術者
,,,,自動車エンジン生産技術者
,,,,写真機生産技術者
,,,,集材機械生産技術者
,,,,水力タービン生産技術者
,,,,製管機械生産技術者
,,,,製材機械生産技術者
,,,,製紙装置生産技術者
,,,,製鉄機械生産技術者
,,,,精密機械生産技術者
,,,,精密測定機生産技術者
,,,,製薬機械生産技術者
,,,,染色機械生産技術者
,,,,船用機関生産技術者
,,,,タービン生産技術者
,,,,内燃機関生産技術者
,,,,荷役機械生産技術者
,,,,搬送装置生産技術者
,,,,紡績機械生産技術者
,,,,ミシン生産技術者
,,,他に分類されない機械製造技術者,圧延機械製造技術者(生産技術者を除く)
,,,,圧力計製造技術者(生産技術者を除く)
,,,,印刷機械製造技術者(生産技術者を除く)
,,,,エアーブレーキ製造技術者(生産技術者を除く)
,,,,機械装置評価試験技術員
,,,,空気圧縮機製造技術者(生産技術者を除く)
,,,,空気調和機械製造技術者(生産技術者を除く)
,,,,クレーン製造技術者(生産技術者を除く)
,,,,建設機械製造技術者(生産技術者を除く)
,,,,原動機製造技術者(生産技術者を除く)
,,,,光学機器製造技術者(生産技術者を除く)
,,,,光学レンズ製造技術者(生産技術者を除く)
,,,,衡器製造技術者(生産技術者を除く)
,,,,工業計器製造技術者(生産技術者を除く)
,,,,航空機エンジン製造技術者(生産技術者を除く)
,,,,航空計器製造技術者(生産技術者を除く)
,,,,工作機械製造技術者(生産技術者を除く)
,,,,鉱山機械製造技術者(生産技術者を除く)
,,,,さく井機製造技術者(生産技術者を除く)
,,,,試錐機製造技術者(開発技術者を除く)
,,,,自動車エンジン製造技術者(生産技術者を除く)
,,,,自動車エンジン評価試験技術員
,,,,写真機製造技術者(生産技術者を除く)
,,,,集材機械製造技術者(生産技術者を除く)
,,,,昇降機試験技術者
,,,,水力タービン製造技術者(生産技術者を除く)
,,,,製管機械製造技術者(生産技術者を除く)
,,,,製材機械製造技術者(生産技術者を除く)
,,,,製紙装置製造技術者(生産技術者を除く)
,,,,製鉄機械製造技術者(生産技術者を除く)
,,,,精密機械製造技術者(生産技術者を除く)
,,,,精密測定機製造技術者(生産技術者を除く)
,,,,製薬機械製造技術者(生産技術者を除く)
,,,,染色機械製造技術者(生産技術者を除く)
,,,,船用機関製造技術者(生産技術者を除く)
,,,,タービン製造技術者(生産技術者を除く)
,,,,内燃機関製造技術者(生産技術者を除く)
,,,,荷役機械製造技術者(生産技術者を除く)
,,,,搬送装置製造技術者(生産技術者を除く)
,,,,紡績機械製造技術者(生産技術者を除く)
,,,,ミシン製造技術者(生産技術者を除く)
,,自動車製造技術者,自動車生産技術者,ピストンリング生産技術者
,,,他に分類されない自動車製造技術者,自動車製造技術者(生産技術者を除く)
,,,,ピストンリング製造技術者(生産技術者を除く)
,,輸送用機器製造技術者(自動車を除く),輸送用機器製造技術者(自動車を除く),航空機製造技術者
,,,,航空機用プロペラ製造技術者
,,,,船舶ぎ装技術者
,,,,船舶製造技術者
,,,,造船技術者(開発技術者を除く)
,,,,鉄道機関車製造技術者
,,,,鉄道車両製造技術者
,,,,ボート製造技術者
,,金属製錬・材料製造技術者,金属製錬・材料製造技術者,圧延術者(開発技術者を除く)
,,,,アルミニウム精錬技術者(開発技術者を除く)
,,,,鋳物技術者(開発技術者を除く)
,,,,金属材料試験技術者
,,,,金属試験技術者
,,,,金属製錬技術者(開発技術者を除く)
,,,,金属表面処理技術者(開発技術者を除く)
,,,,軽金属技術者(開発技術者を除く)
,,,,建築金物製造技術者
,,,,合金技術者(開発技術者を除く)
,,,,鋼線鋼索製造技術者
,,,,再生亜鉛製造技術者
,,,,試作品試験技術員(金属製品)
,,,,製鋼技術者(開発技術者を除く)
,,,,製鉄技術者(開発技術者を除く)
,,,,ダイカスト技術者(開発技術者を除く)
,,,,鍛造技術者(開発技術者を除く)
,,,,チタン製錬技術者(開発技術者を除く)
,,,,鋳造技術者(開発技術者を除く)
,,,,鉄鋼技術者(開発技術者を除く)
,,,,電解炉操炉技術者
,,,,電気化学技術者(金属精錬)(開発技術者を除く)
,,,,電気精錬技術者(開発技術者を除く)
,,,,銅精錬技術者(開発技術者を除く)
,,,,熱処理技術者(開発技術者を除く)
,,,,品質管理技術者(金属管)
,,,,冶(や)金技術者(開発技術者を除く)
,,,,溶接技術者(開発技術者を除く)
,,化学品製造技術者,化学品生産技術者,アミノ酸生産技術者
,,,,アルコール生産技術者
,,,,アルミナ生産技術者
,,,,アンモニア生産技術者
,,,,硫黄生産技術者
,,,,医薬品生産技術者
,,,,印刷インク生産技術者
,,,,カーバイド生産技術者
,,,,カーボンブラック生産技術者
,,,,界面活性剤生産技術者
,,,,化学繊維生産技術者
,,,,化学肥料生産技術者
,,,,化学薬品生産技術者
,,,,核酸生産技術者
,,,,活性炭生産技術者
,,,,火薬生産技術者
,,,,顔料生産技術者
,,,,グルタミン酸生産技術者
,,,,化粧品生産技術者
,,,,合成ゴム生産技術者
,,,,合成樹脂生産技術者
,,,,合成繊維生産技術者
,,,,酵素生産技術者
,,,,高分子化学製品生産技術者
,,,,高分子凝集剤生産技術者
,,,,高分子添加剤生産技術者
,,,,香料生産技術者
,,,,ゴム製品生産技術者
,,,,石油化学製品生産技術者
,,,,石油製品生産技術者
,,,,石けん生産技術者
,,,,接着剤生産技術者
,,,,洗剤生産技術者
,,,,染料生産技術者
,,,,タイヤ生産技術者
,,,,窒素肥料生産技術者
,,,,電気化学製品生産技術者
,,,,塗料生産技術者
,,,,ナイロン糸生産技術者
,,,,農薬生産技術者
,,,,バイオケミカル生産技術者
,,,,プラスチック製品生産技術者
,,,,無機化学製品生産技術者
,,,,無機薬品生産技術者
,,,,メタノール生産技術者
,,,,有機化学製品生産技術者
,,,,有機金属化合物生産技術者
,,,,有機ゴム薬品生産技術者
,,,,有機酸生産技術者
,,,,油脂製品生産技術者
,,,,硫酸生産技術者
,,,,ワクチン生産技術者
,,,分析化学技術者,医薬品検査技術員
,,,,化学繊維検査技術員
,,,,ガス分析技術員
,,,,環境測定技術員
,,,,工業薬品分析技術員
,,,,工場廃液分析技術員
,,,,ゴム製品分析技術員
,,,,残留農薬分析検査員
,,,,生物試験検査技術員(医薬)
,,,,農薬検査技術員
,,,,無機薬品分析検査技術員
,,,,メタノール分析技術員
,,,,薬品分析試験技術者
,,,,有機薬品分析技術員
,,,,油脂分析技術員
,,,他に分類されない化学品製造技術者,アミノ酸製造技術者(生産技術者を除く)
,,,,アルコール製造技術者(生産技術者を除く)
,,,,アルミナ製造技術者(生産技術者を除く)
,,,,アンモニア製造技術者(生産技術者を除く)
,,,,硫黄製造技術者(生産技術者を除く)
,,,,医薬品製造管理者(薬剤師)
,,,,医薬品製造技術者(生産技術者を除く)
,,,,印刷インク製造技術者(生産技術者を除く)
,,,,カーバイド製造技術者(生産技術者を除く)
,,,,カーボンブラック製造技術者(生産技術者を除く)
,,,,界面活性剤製造技術者(生産技術者を除く)
,,,,化学繊維製造技術者(生産技術者を除く)
,,,,化学肥料製造技術者(生産技術者を除く)
,,,,化学薬品製造技術者(生産技術者を除く)
,,,,核酸製造技術者(生産技術者を除く)
,,,,活性炭製造技術者(生産技術者を除く)
,,,,火薬製造技術者(生産技術者を除く)
,,,,顔料製造技術者(生産技術者を除く)
,,,,グルタミン酸製造技術者(生産技術者を除く)
,,,,化粧品製造技術者(生産技術者を除く)
,,,,高圧ガス製造技術者
,,,,合成ゴム製造技術者(生産技術者を除く)
,,,,合成樹脂製造技術者(生産技術者を除く)
,,,,合成繊維製造技術者(生産技術者を除く)
,,,,酵素製造技術者(生産技術者を除く)
,,,,高分子化学製品製造技術者(生産技術者を除く)
,,,,高分子凝集剤製造技術者(生産技術者を除く)
,,,,高分子添加剤製造技術者(生産技術者を除く)
,,,,香料製造技術者(生産技術者を除く)
,,,,ゴム製品製造技術者(生産技術者を除く)
,,,,生物試験員(製薬業)
,,,,石油化学製品製造技術者(生産技術者を除く)
,,,,石油製品製造技術者(生産技術者を除く)
,,,,石けん製造技術者(生産技術者を除く)
,,,,接着剤製造技術者(生産技術者を除く)
,,,,洗剤製造技術者(生産技術者を除く)
,,,,染料製造技術者(生産技術者を除く)
