大分類,中分類,小分類,細分類,該当例
,,,,製糖技術者(開発技術者を除く)
,,,,精糖技術者(開発技術者を除く)
,,,,製粉技術者(開発技術者を除く)
,,,,清涼飲料製造技術者
,,,,乳製品検査技術者
,,,,乳製品製造技術者
,,,,品質検査技術者(食料品)
,,,,マーガリン製造技術者
,,,,味そ製造技術者
,,,,酪農製品製造技術者
,,,,冷凍技術者(食品)
,,電気・電子・電気通信製造技術者(通信ネットワークを除く),電気・電子・電気通信機器生産技術者,X線装置生産技術者
,,,,集積回路生産技術者
,,,,精密測定器生産技術者(電気式)
,,,,積算電力計生産技術者
,,,,テレビ生産技術者
